Contrastive loss: 0.4918212890625 | Regression loss: 5.84855842590332
Contrastive loss: 0.4989013671875 | Regression loss: 6.657767295837402
Contrastive loss: 0.4991455078125 | Regression loss: 3.008212089538574
Contrastive loss: 0.4163004755973816 | Regression loss: 5.341863632202148
Contrastive loss: 0.4164225459098816 | Regression loss: 2.371809720993042
Contrastive loss: 0.4998372495174408 | Regression loss: 3.3287715911865234
Contrastive loss: 0.5 | Regression loss: 3.2523372173309326
Contrastive loss: 0.4999186396598816 | Regression loss: 4.155628204345703
Contrastive loss: 0.4996744990348816 | Regression loss: 1.6441247463226318
Contrastive loss: 0.4995524287223816 | Regression loss: 2.1004228591918945
Contrastive loss: 0.4997151792049408 | Regression loss: 2.139355182647705
Contrastive loss: 0.4998779296875 | Regression loss: 3.0348591804504395
Contrastive loss: 0.4997965693473816 | Regression loss: 3.739250659942627
Contrastive loss: 0.333251953125 | Regression loss: 1.7398483753204346
Contrastive loss: 0.49951171875 | Regression loss: 2.7011849880218506
Contrastive loss: 0.4998372495174408 | Regression loss: 2.4550092220306396
Contrastive loss: 0.4993082880973816 | Regression loss: 2.298422336578369
Contrastive loss: 0.4984944760799408 | Regression loss: 1.7290751934051514
Contrastive loss: 0.4154459834098816 | Regression loss: 2.490354061126709
Contrastive loss: 0.4163818359375 | Regression loss: 2.4313411712646484
Contrastive loss: 0.4158121943473816 | Regression loss: 2.9516165256500244
Contrastive loss: 0.4990234375 | Regression loss: 4.901487350463867
Contrastive loss: 0.4975993037223816 | Regression loss: 1.3935856819152832
Contrastive loss: 0.4997965693473816 | Regression loss: 2.20255708694458
Contrastive loss: 0.4978434443473816 | Regression loss: 2.0533297061920166
Contrastive loss: 0.4954427182674408 | Regression loss: 1.1267035007476807
Contrastive loss: 0.4991862177848816 | Regression loss: 1.4454200267791748
Contrastive loss: 0.4943440854549408 | Regression loss: 1.348332166671753
Contrastive loss: 0.496337890625 | Regression loss: 1.5691384077072144
Contrastive loss: 0.4925944209098816 | Regression loss: 1.9766113758087158
Contrastive loss: 0.4954833984375 | Regression loss: 2.2524964809417725
Contrastive loss: 0.4728597104549408 | Regression loss: 2.3716492652893066
Contrastive loss: 0.4019775390625 | Regression loss: 1.6162127256393433
Contrastive loss: 0.4768880307674408 | Regression loss: 1.745124340057373
Contrastive loss: 0.4781087338924408 | Regression loss: 1.2180047035217285
Contrastive loss: 0.4025065302848816 | Regression loss: 1.4631996154785156
Contrastive loss: 0.4556071162223816 | Regression loss: 1.956201434135437
Contrastive loss: 0.494873046875 | Regression loss: 2.187727451324463
Contrastive loss: 0.4532063901424408 | Regression loss: 1.8712058067321777
Contrastive loss: 0.45849609375 | Regression loss: 2.371061325073242
Contrastive loss: 0.3984782099723816 | Regression loss: 1.4905791282653809
Contrastive loss: 0.4026692807674408 | Regression loss: 1.0858267545700073
